,LocationID,Latitude,Longitude,Risk Band
5948,756080,21.6346266,87.1503566,Very Critical
5946,756036,21.64655,87.3948233,Very Critical
17602,736182,26.84,89.37,Very Critical
9569,754105,20.2109344,86.0781811,Very Critical
16540,734501,26.87,88.57,Very Critical
11606,604601,13.3725,80.3334,Very Critical
5954,756083,21.5670933,87.3230133,Very Critical
10564,743439,22.2478349,88.9701903,Very Critical
17618,721438,21.973062,87.566775,Very Critical
5921,756025,21.4619566,86.98833,Very Critical
5922,756025,21.4619566,86.98833,Very Critical
5994,752103,20.1764505,86.006082,Very Critical
12867,735210,26.65,88.94,Very Critical
18387,734004,26.7006389,88.4331667,Very Critical
12743,741245,26.733878,88.840104,Very Critical
16537,735121,26.57,88.77,Very Critical
5999,752110,19.9518385,86.0335062,Very Critical
14776,752012,19.8923069,85.8518097,Very Critical
12814,736123,26.52,89.49,Very Critical
6195,752045,19.9219209,85.9282237,Very Critical
12744,741245,26.733878,88.840104,Very Critical
14739,752111,19.9464114,86.120666,Very Critical
6198,752046,19.9651924,85.8659044,Very Critical
9804,756032,21.8045556,87.2261111,Very Critical
11496,602105,12.9445851,79.9806128,Very Critical
13274,602024,13.1181,80.0336,Very Critical
13275,602024,13.1181,80.0336,Very Critical
5940,756002,21.4813666,86.9772933,Very Critical
5943,756030,21.7438066,87.2093249,Very Critical
18213,602117,12.9707,79.9707,Very Critical
6113,757025,21.7168384,86.802246,Very Critical
9547,756084,21.79655,87.2282,Very Critical
13039,721424,22.124985,87.373629,Very Critical
5955,756023,21.69833,87.2018,Very Critical
15303,602025,13.1083914,79.9506799,Very Critical
5941,756002,21.4813666,86.9772933,Very Critical
16569,721434,22.0813107,87.6359125,Very Critical
5949,756086,21.7563066,87.2491583,Very Critical
13059,721439,22.0499237,87.5272212,Very Critical
9548,756039,21.79655,87.2282,Very Critical
14736,752104,20.12,85.8015,Very Critical
5992,752102,20.203908,85.9607455,Very Critical
15289,603106,12.7263,79.93605,Very Critical
3761,175001,31.76,76.94,Very Critical
10407,248001,30.263,78.0323,Very Critical
13717,735101,26.53,88.73,Very Critical
8854,180019,32.72965,74.80659,Very Critical
10397,248142,30.4298,77.6296,Very Critical
2134,781367,26.60669,91.58147,Very Critical
3918,181122,32.829342,74.654213,Very Critical
3921,181221,32.726602,74.857026,Very Critical
2197,784524,26.720832,92.223228,Very Critical
3762,175001,31.76,76.94,Very Critical
12909,737128,27.08,88.43,Very Critical
2038,783382,26.635963,91.635963,Very Critical
10412,248013,30.34,78.069,Very Critical
19143,249203,30.0747222,78.2856111,Very Critical
16946,248011,30.3553056,77.8543611,Very Critical
14439,181133,32.629769,74.890184,Very Critical
